"WATERSHED_CODE","GAZETTED_NAME","ALIAS_NAME","WATERBODY_IDENTIFIER","REGION","ORDER_50","MAGNITUDE_50","WATERBODY_TYPE","RAB_WATERSHED_CODE","WATERBODY_ID","MAP_NUMBER","UTM_ZONE","UTM_EASTING","UTM_NORTHING","STREAM_LENGTH","LAKE_PERIMETER","LAKE_AREA","LAKE_ELEVATION"
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #71, LAKE 71","00067STHM",,,,"Lake",,"1214841",,"11","298362","5625617",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #1695, LAKE 1695, LAKE AA","00164BONP",,,,"Lake",,"1208100",,"10","678300","5691757",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #1677, LAKE 1677, LAKE Y","00182BONP",,,,"Lake",,"1208103",,"10","681188","5690835",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #1678, LAKE 1678","00184BONP",,,,"Lake",,"1208104",,"10","678768","5690640",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #1692, LAKE 1692, LAKE X","00189BONP",,,,"Lake",,"1208106",,"10","680105","5690321",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #1196, LAKE 1196","00636DEAD",,,,"Lake",,"1247970",,"10","674304","5655429",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #1673","00656LNTH",,,,"Lake",,"1248961",,"10","684570","5701956",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE # 1674, RAT LAKE","00673LNTH",,,,"Lake",,"1249907",,"10","685015","5701480",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #524, LAKE 524","00677LNTH",,,,"Lake",,"1250108",,"10","682298","5701373",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #473, LAKE 473","00724DEAD",,,,"Lake",,"1252462",,"10","673872","5651494",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #528, LAKE 528","00736LNTH",,,,"Lake",,"1253096",,"10","687652","5699621",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #344, LAKE 344","01160LNTH",,,,"Lake",,"1270422",,"10","693698","5673954",,,,
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #194, LAKE 194","01228LNTH",,,,"Lake",,"1272580",,"10","688307","5668928",,,,
,,"LAKE #1673",,"Thompson",,,"Lake",,"333066","092P08",,,,,,,
,,"LAKE #1587",,"Thompson",,,"Lake",,"333177",,,,,,,,
